"bbox","country","Address"
"{u'west': 18.4287748, u'east': 18.9478418, u'north': 54.4472188, u'south': 54.2749559}","Poland","gdansk"
"{u'west': -74.2557349, u'east': -73.7002721, u'north': 40.9152414, u'south': 40.495908}","USA","new-york"
"{u'west': -74.035149, u'east': -73.903313, u'north': 40.820045, u'south': 40.698078}","USA","manhattan"
"{u'west': -82.648659, u'east': -82.2597409, u'north': 28.1714781, u'south': 27.8211193}","USA","tampa"
"{u'west': -0.3514683, u'east': 0.1478797, u'north': 51.6723432, u'south': 51.3849401}","UK","london"
"{u'west': -119.7642139, u'east': -119.6399201, u'north': 34.4611451, u'south': 34.3952424}","USA","santa-barbara"
"{u'west': -86.3281211, u'east': -85.9373789, u'north': 39.927392, u'south': 39.632177}","USA","indianapolis"
"{u'west': -83.287959, u'east': -82.910451, u'north': 42.45023, u'south': 42.255192}","USA","detroit"
"{u'west': 55.046, u'east': 55.546, u'north': 25.318, u'south': 24.924}","United Arab Emirates","dubai"
"{u'west': 53.792, u'east': 55.082, u'north': 24.669, u'south': 23.647}","United Arab Emirates","abu-dhabi"
"{u'west': 144.3944921, u'east': 145.76474, u'north': -37.4598457, u'south': -38.2607199}","Australia","melbourne"
"{u'west': 17.7768621, u'east': 18.198229, u'north': 59.4278409, u'south': 59.224443}","Sweden","stockholm"
"{u'west': 9.0658975, u'east': 9.2779153, u'north': 45.5359728, u'south': 45.3921679}","Italy","milan"
"{u'west': -120.0023379, u'east': -119.6993449, u'north': 39.723436, u'south': 39.3924261}","USA","reno"
"{u'west': 14.2244533, u'east': 14.7067945, u'north': 50.177403, u'south': 49.9419363}","Czech Republic","prague"
"{u'west': 121.4570603, u'east': 121.6659421, u'north': 25.2103038, u'south': 24.9605084}","Taiwan","taipei"
"{u'west': -87.4697208, u'east': -87.276917, u'north': 39.5285359, u'south': 39.4015709}","USA","terre-haute"
"{u'west': -80.3195991, u'east': -80.1424003, u'north': 25.8556059, u'south': 25.709042}","USA","miami"
"{u'west': 4.7718489, u'east': 4.898393, u'north': 45.808425, u'south': 45.707486}","France","lyon"
"{u'west': -87.9402669, u'east': -87.524044, u'north': 42.023131, u'south': 41.6443349}","USA","chicago"
"{u'west': 32.5286899, u'east': 33.0070562, u'north': 40.076332, u'south': 39.730421}","Turkey","ankara"
"{u'west': -121.56012, u'east': -121.325705, u'north': 38.685507, u'south': 38.437574}","USA","sacramento"
"{u'west': 4.7288558, u'east': 5.0683903, u'north': 52.4309497, u'south': 52.3182742}","The Netherlands","amsterdam"
"{u'west': -122.8369952, u'east': -122.4718489, u'north': 45.654424, u'south': 45.432393}","USA","portland"
"{u'west': 36.5449906, u'east': 36.6076899, u'north': 32.7348733, u'south': 32.6688949}","Syria","as-suwayda"
"{u'west': -112.324056, u'east': -111.926046, u'north': 33.92057, u'south': 33.2902598}","USA","phoenix"
"{u'west': -96.9989413, u'east': -96.4637379, u'north': 33.0237921, u'south': 32.617537}","USA","dallas"
"{u'west': 116.0119343, u'east': 116.7829835, u'north': 40.2164962, u'south': 39.6612714}","China","beijing"
"{u'west': 11.360796, u'east': 11.7228755, u'north': 48.2482197, u'south': 48.0616018}","Germany","munich"
"{u'west': 36.1978912, u'east': 36.3678997, u'north': 33.5651386, u'south': 33.4498124}","Syria","damascus"
"{u'west': 113.835079, u'east': 114.4064451, u'north': 22.561968, u'south': 22.153415}","Hong Kong","hong-kong"
"{u'west': -120.5380289, u'east': -120.0417378, u'north': 50.86624, u'south': 50.6172699}","Canada","kamloops"
"{u'west': 24.9225434, u'east': 24.9545582, u'north': 60.1753949, u'south': 60.1642942}","Finland","helsinki"
"{u'west': -78.588153, u'east': -78.4078789, u'north': -0.0413704, u'south': -0.3610194}","Ecuador","quito-ecuador"
"{u'west': 9.732151, u'east': 10.123492, u'north': 53.717145, u'south': 53.399999}","Germany","hamburg"
"{u'west': -75.280303, u'east': -74.9557629, u'north': 40.1379919, u'south': 39.8670041}","USA","philadelphia"
"{u'west': 2.224199, u'east': 2.4699208, u'north': 48.9021449, u'south': 48.815573}","France","paris"
"{u'west': 103.8249207, u'east': 104.3261719, u'north': 30.8581695, u'south': 30.4588876}","China","chengdu"
"{u'west': 16.8073801, u'east': 17.1763478, u'north': 51.2114736, u'south': 51.042657}","Poland","wroclaw"
"{u'west': -118.6681759, u'east': -118.1552891, u'north': 34.3373061, u'south': 33.7036917}","USA","los-angeles"
"{u'west': -4.3932005, u'east': -4.0717167, u'north': 55.9296413, u'south': 55.7812791}","UK","glasgow"
"{u'west': 100.3277368, u'east': 100.9384077, u'north': 13.9551109, u'south': 13.4940968}","Thailand","bangkok"
"{u'west': -114.27136, u'east': -113.905638, u'north': 51.18383, u'south': 50.842404}","Canada","calgary"
"{u'west': 12.341707, u'east': 12.7302888, u'north': 42.0505462, u'south': 41.7665669}","Italy","rome"
"{u'west': -70.9577496, u'east': -69.7689943, u'north': -33.0487158, u'south': -34.2878805}","Chile","santiago"
"{u'west': -88.2212529, u'east': -87.9566159, u'north': 30.843458, u'south': 30.5603742}","USA","mobile-al"
"{u'west': 37.3193288, u'east': 37.9456611, u'north': 56.009657, u'south': 55.489927}","Russia","moscow"
"{u'west': 13.088346, u'east': 13.7611176, u'north': 52.6754542, u'south': 52.3394648}","Germany","berlin"
"{u'west': 18.9261011, u'east': 19.334505, u'north': 47.6130119, u'south': 47.349415}","Hungary","budapest"
"{u'west': -84.6604151, u'east': -84.282715, u'north': 38.211404, u'south': 37.8452559}","USA","lexington"
"{u'west': -97.9383829, u'east': -97.5684199, u'north': 30.5168629, u'south': 30.0986589}","USA","austin"
"{u'west': 3.0982732, u'east': 3.6967278, u'north': 6.7027984, u'south': 6.3936419}","Nigeria","lagos"
