"city","country","continent","structure","founding century"
"gdansk","Poland","Europe","unplanned",10
"new-york","USA","North America","planned",17
"manhattan","USA","North America","planned",17
"tampa","USA","North America","unplanned",19
"london","UK","Europe","unplanned",1
"santa-barbara","USA","North America","unplanned",19
"indianapolis","USA","North America","planned",19
"detroit","USA","North America","unplanned",18
"dubai","United Arab Emirates","Asia","unplanned",19
"abu-dhabi","United Arab Emirates","Asia","unplanned",19
"melbourne","Australia","Australia","planned",19
"stockholm","Sweden","Europe","planned",12
"milan","Italy","Europe","planned",15
"reno","USA","North America","unplanned",19
"prague","Czech Republic","Europe","unplanned",9
"taipei","Taiwan","Asia","unplanned",18
"terre-haute","USA","North America","unplanned",19
"miami","USA","North America","unplanned",16
"lyon","France","Europe","unplanned",19
"chicago","USA","North America","partly",19
"ankara","Turkey","Asia","unplanned",11
"sacramento","USA","North America","unplanned",19
"amsterdam","The Netherlands","Europe","unplanned",13
"portland","USA","North America","unplanned",19
"as-suwayda","Syria","Asia","unplanned",2
"phoenix","USA","North America","planned",19
"dallas","USA","North America","partly",19
"beijing","China","Asia","unplanned",15
"munich","Germany","Europe","unplanned",12
"damascus","Syria","Asia","unplanned",0
"hong-kong","Hong Kong","Asia","partly",19
"kamloops","Canada","North America","unplanned",19
"helsinki","Finland","Europe","planned",16
"quito-ecuador","Ecuador","South America","unplanned",16
"hamburg","Germany","Europe","unplanned",5
"philadelphia","USA","North America","planned",17
"paris","France","Europe","unplanned",0
"chengdu","China","Asia","unplanned",0
"wroclaw","Poland","Europe","unplanned",10
"los-angeles","USA","North America","unplanned",18
"glasgow","UK","Europe","unplanned",0
"bangkok","Thailand","Asia","unplanned",20
"calgary","Canada","North America","unplanned",19
"rome","Italy","Europe","unplanned",8
"santiago","Chile","South America","unplanned",16
"mobile-al","USA","North America","planned",19
"moscow","Russia","Europe","planned",12
"berlin","Germany","Europe","unplanned",13
"budapest","Hungary","Europe","unplanned",19
"lexington","USA","North America","unplanned",18
"austin","USA","North America","planned",19
"lagos","Nigeria","Africa","unplanned",15
"macon-ga","USA","North America","unplanned",19
"jakarta","Indonesia","Asia","unplanned",16
"siem-reap","Cambodia","Asia","unplanned",20
"brasilia-brazil","Brazil","South America","planned",20
"florence","Italy","Europe","unplanned",0
"toronto","Canada","North America","partly",18
"dushanbe","Tajikistan","Asia","unplanned",20
"boston","USA","North America","partly",17
"bordeaux","France","Europe","unplanned",6
"san-diego-tijuana","Mexico","North America","unplanned",18
"lille","France","Europe","unplanned",11
"monaco","Monaco","Europe","partly",13
"rio-de-janeiro","Brazil","South America","unplanned",16
"state-college-pa","USA","North America","unplanned",19
"tokyo","Japan","Asia","unplanned",15
"vancouver","Canada","North America","unplanned",19
"columbus-oh","USA","North America","unplanned",19
"seoul","South Korea","Asia","unplanned",0
