city,gini,Area,freeman_centralization,founding century,continent,violent crime,property crime,entropy,crime,cv,structure,Population
gdansk,0.93369019945919907,155.0,0.0063209265248190183,10.0,Europe,,,0.71866999026992107,27.6,0.057783921755646381,unplanned,775000.0
new-york,0.96540695566472812,11642.0,0.0058908908561735463,17.0,North America,46357.0,142000.0,0.70520320033887263,47.33,0.031594368132183019,planned,20464000.0
tampa,0.90883019587853331,2479.0,0.0062296527817683467,19.0,North America,2597.0,12960.0,0.77639524398973092,60.73,0.030097570684312281,unplanned,2513000.0
london,0.99477333007923119,1623.0,0.0015074349215725557,1.0,Europe,,,0.54776255582922129,50.14,0.0701086869695733,unplanned,8586000.0
santa-barbara,0.843650416434779,145.0,0.069837829180555519,19.0,North America,,,0.77829819066451267,,0.075280422949507764,unplanned,196000.0
indianapolis,0.90258292208612212,1829.0,0.0098726587734933539,19.0,North America,9759.0,47419.0,0.78340446020929777,,0.030282927226741564,planned,1523000.0
detroit,0.90368851881731693,3463.0,0.018535937586454932,18.0,North America,18094.0,50929.0,0.76919459644622645,,0.038193837686488617,unplanned,3724000.0
melbourne,0.97411409250039294,2152.0,0.0047694556988133012,19.0,Australia,,,0.69424307095482163,48.75,0.030489198488091965,planned,3536000.0
stockholm,0.98480135308208439,377.0,0.002881961574172314,12.0,Europe,,,0.62445267094499557,25.62,0.053275296430244527,planned,1288000.0
milan,0.98132691405997852,1891.0,0.0047380198613574571,15.0,Europe,,,0.59825202834686175,56.2,0.085182257618989343,planned,5232000.0
reno,0.90493950262638945,425.0,0.012724685318838211,19.0,North America,1473.0,8810.0,0.76232845713632647,,0.045500134420121754,unplanned,397000.0
prague,0.98849440467714456,285.0,0.002507261905826094,9.0,Europe,,,0.49955396254917966,34.54,0.14177623438704229,unplanned,1265000.0
taipei,0.8877689316600772,1140.0,0.0094602558530979576,18.0,Asia,,,0.78205721178069687,15.71,0.039239024023103072,unplanned,8338000.0
terre-haute,0.83314435750802107,,0.034653597259231061,19.0,North America,,,0.7906556310221835,,0.066201282421509716,unplanned,
lyon,0.96847137759209567,1178.0,0.0067740237604500108,19.0,Europe,,,0.64109527016226564,,0.07460455359852218,unplanned,1542000.0
chicago,0.88022246137658933,6856.0,0.010751304208354556,19.0,North America,,120407.0,0.80044366671376721,54.52,0.026886667227864654,partly,9121000.0
ankara,0.99464545919265535,583.0,0.0080615508152776412,11.0,Asia,,,0.43570341243157334,27.47,0.1541022579095139,unplanned,4172000.0
sacramento,0.970374062105683,1220.0,0.010562199482025338,19.0,North America,4165.0,21001.0,0.63290132253353526,47.51,0.072952916252305683,unplanned,1771000.0
amsterdam,0.95976419948624014,414.0,0.0035515822113089518,13.0,Europe,,,0.68322172657917646,29.76,0.053908328617657472,unplanned,1050000.0
