city,Population,Area,founding century,crime,violent crime,property crime
gdansk,775000,155,10,27.6,,
new-york,20464000,11642,17,47.33,,
manhattan,,,17,,,
tampa,2513000,2479,19,60.73,2597,12960
london,8586000,1623,1,50.14,,
santa-barbara,196000,145,19,,,
indianapolis,1523000,1829,19,,9759,47419
detroit,3724000,3463,18,,,50929
abu-dhabi,3244000,1230,19,10.86,,
dubai,3244000,1230,19,19.36,,
melbourne,3536000,2152,19,48.75,,
stockholm,1288000,377,12,25.62,,
milan,5232000,1891,15,56.2,,
reno,397000,425,19,,1473,8810
prague,1265000,285,9,34.54,,
taipei,8338000,1140,18,15.71,,
terre-haute,,,19,,,
miami,5582000,3209,16,64.85,4983,20778
lyon,1542000,1178,19,,,
chicago,9121000,6856,19,54.52,,
ankara,4172000,583,11,27.47,,
sacramento,1771000,1220,19,47.51,4165,21001
amsterdam,1050000,414,13,29.76,,
portland,205000,352,19,39.22,3105,26495
as-suwayda,,,2,,,
phoenix,4076000,3276,19,41.41,8730,65617
dallas,5874000,5175,19,59.9,10221,71364
beijing,17311000,3497,15,47.61,,
munich,1355000,466,12,15.34,,
damascus,2691000,181,0,59.64,,
hong-kong,7106000,275,19,16.31,,
kamloops,73000,52,19,,,
helsinki,1131000,492,16,40.96,,
quito-ecuador,1656000,479,16,48.36,,
hamburg,1794000,712,5,,,
philadelphia,5474000,5131,17,68.58,,55888
paris,10755000,2845,0,53.75,,
chengdu,7895000,971,0,,,
wroclaw,600000,124,10,34.38,,
los-angeles,14900000,6299,18,65.74,,
glasgow,1201000,368,0,,,
bangkok,7151000,2202,20,36.1,,
calgary,1107000,704,19,29.53,,
rome,3799000,1114,8,62.34,,
santiago,450000,65,16,42.33,,
mobile-al,327000,578,19,,1994,14123
moscow,15512000,4403,12,53.19,,
berlin,3453000,984,13,24.19,,
budapest,1727000,894,19,34.18,,
lexington,292000,228,18,,1760,10124
austin,1430000,1355,19,42.5,4024,48026
lagos,11547000,907,15,60.44,,
macon-ga,138000,254,19,,,
jakarta,26063000,2784,16,,,
siem-reap,,,20,,,
brasilia-brazil,2362000,673,20,61.88,,
florence,821000,220,0,39.58,,
toronto,6139000,2287,18,27.4,,
dushanbe,550000,85,20,,,
boston,4427000,5325,17,40.69,6192,20749
bordeaux,845000,1173,6,57.29,,
san-diego-tijuana,,,18,39.55,5931,32246
lille,1050000,474,11,,,
monaco,,,13,54.69,,
rio-de-janeiro,12043000,2020,16,67.93,,
state-college-pa,,,19,,,
tokyo,,,15,13.91,,
vancouver,2150000,1150,19,30.03,,
columbus-oh,1395000,1321,19,42.17,5375,49012
seoul,,,0,21.35,,
las-vegas,1983000,1080,20,70.57,13039,47668
johannesburg,,,19,83.93,,
venice,420000,130,5,,,
tehran,7419000,777,9,54.16,,
bogota,8702000,414,16,46.02,,
leeds,,,5,28.91,,
chennai,8865000,609,17,33.22,,
dc-baltimore,,,18,58.85,9664,29163
